text,label
oh omg,5
"Sometimes when I'm sitting around, I randomly shout, &quot;God dammit, Kurt. WHY?&quot;",0
Nutty was not offended .,3
very resentful,3
"As I walked down the front steps for the last time , a feeling of elation swept over me .",1
In 12 hours ill be watching the season finale of,0
Just saw an empty Summer Shandy box next to my Aunt's fridge. But no Liene to be found,0
"Hei, 9 days for our 1st xmas outing! RT @JessieWongsh: 22 more days to go! I'm excited to give out Christmas presents!  :D",1
I actually do get to do s send today but it's Comcast New England Sports Net meaning all Boston sports,1
When I learned that a friend of mine had not been speaking to her boyfriend for a week after an argument because of unfounded jealousy.,0
"Cette fille était vraiment à mon goût, mais ce n'était pas possible de son côté",0
just feel great,1
@Bern3755 Phewwww!!! THANK YOU DARLING :) HAVE A GLAMTASTIC WEEK!! COUNTING DOWN TO XMAS!!!  &amp;,1
Flora 's eyes were downcast too ; they usually were .,0
In her incensed whisper she called me names I didn't understand .,3
miserable today,0
"When a man who had a knife grabbed me and threatened me with it,   during my holidays in Monze.",4
i am blissful,1
Coming home from camp to a whole new redone room!!!!!! &gt;&gt;&gt;&gt;,5
Fabulous night with @AutumnPhillips4 @cnorman11 &amp;&amp; Piage now off to bed for the ACT :),1
Am run and  done!  Looking forward to a relaxing day and sleep over with my girls.  Finding so much in the simple things!,1
I was most angry when India lost the Triangular Cricket trophy held in Australia.  I was so angry that I fought (orally) with my friend.,3
@ghaatidancer am going to miss the &quot;freehugs&quot; spree tm!! #depression #iwannabethere #wishicouldflydownforit sniff!,0
in any form diminishes my ability to think clearly and trust myself. Why in the world is it used as a tool so often?,4
"20 to 1 , in favour of the Cougars !",3
She was getting agitated .,4
OK . I'll see you then .,1
"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN",5
what do i cook for all guys hmmm. birthday party,5
Is at @officialPWG Ready to see @yumabooma rock this party GO ROCKNES!!! #supportIndyWrestling,4
"@MontanaMadrigal shit nvm i jus googled itt, that's what my uncle wearss! he's gone till march tho, ;(",0
Why wont twitter let me change my background :(,0
Trey Funny As Shit  For Real,1
"So, it looks like @flo_tweet will miss Poland this time. Such a sad story.",0
test in every single subject tomorrow,1
One Of My Family Members Live For Drama,1
Chilli(: Last Time I Ate Chilli My Bestie @QuynneRuth Made It For Dinner&lt;3,0
i fancy this,2
completely despise,3
Just met a nuclear engineer from Los alamos who grew up on the farm in Iowa.,5
Work till noon,1
Christmas shopping with the hubby in NYC~ Hoping to have all the kids together for the holidays this year!  #Curious,5
Last day of cleaning before  Ready to enjoy it with fam &amp; friends! #family #hanginout,1
finally blessed,1
The price was recognised as much too low and many insurers became worried at the apparent undervaluation of their organisations .,4
"PUIS ! Ils ont verrouillés les PC, et sont partis en mode total, nous disant qu'on avait juste le droit d'être là ... x)",4
getting ready for work then working till 3:30,1
@BlueEyedShinobi you ever do the pledge and moment of silence with poop on your shoe?,1
Hoy sera noche de Joy Joy,1
i worship it,2
Back in the blessed land of ephraim,1
I sensed this feeling when I passed successfully the second tour of a competition.,1
La nana qui lit à voix haute son bouquin sur Direct 8 me fait flipper.,4
actually leaving my hair curly for once,5
i feel hurt,0
"Britt is heartbroken that her eight-year marriage to toyboy husband ` Slim "" Jim McDonnell , 31 , is to end in divorce .",0
Happiness lies in the joy of achievement and the thrill of creative effort. ~ #Quote ~ Franklin D. Roosevelt &#xA;via @RockChristopher,1
The dude opposite me has more feminine finger(s)/nails than I do #manhands #ihaveem,1
tense right now,4
What a pity ! I know you've been longing for it these months .,0
i am gloomy,0
When my first love was not successful.,0
A great weekend of rugby but a horrible weekend of study ahead! #HonMunster #ConnachtAbu,4
"Bath, hot chocolate, did my toenails.",1
When I heard that I had made it to the second year at university.,1
I was very sad when I heard that my Auntie had passed away.,0
It was such an odd thing to see. So much and thankfully no deaths. What a crazy afternoon it turned out to be!,3
i am hopeless,0
Getting ready for the last show at The Mad Hatter.,0
feeling afraid,4
The music on the radio was great! I dint even need my ipod,5
absolutely loathe,3
:S eiisos soniidos en la habiitación ia no son  normaLes! :S,4
Fearless means no need of the Courage.,4
"This happened a year when I was having a hard time, I got admission to do research despite obstacles in the procedure of admission.",1
11:43...yeah i think its time to start my 50 question Trig Test! :D,1
"not afraid of tomorrow, for I have seen yesterday and I love today #less",4
"The biggest prison anyone can live in, is the of what other people think. Change your thoughts, change your life.",4
"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN",5
Work actually isn't that bad today.,5
"Sadness, no, I felt something much stronger when my father died.",0
unhappy again,0
i feel glad,1
WOW :( I haven't heard about that.. SMH RT @Earth2Sun @MurdaMese A 10 year old killed himself.  How? Why?,0
it sounds like any job will be better than the one you have now !,3
Big thanks to @JoeyRyanOnline for the picture. Made my night,4
wait stunning,5
spca tomorrow for community service..,1
Fat lip &amp; swollen jaw,1
"My mother was stuck by an apoplectic fit, was paralyzed and suffered an aphasia.",0
very despise,3
kinda dreading,4
blue today,0
craving ice cream right now...,0
"He woke stupefied , flicking his tongue over his parched lips like a reptile .",5
&quot;give it two months but if it's like mine.. prolly a year :/ &quot; LMFAOOOOOOOOOOOOOO,1
Is there a reason why you're trying to get off the phone so fast ?,3
I can't find the lights for the Christmas tree:c,0
"` Harry , we 're going to make ourselves miserable beyond measure if we go on like this .",0
I am sorry . There is a speed limit .,0
Finally finished all 523 pages of The Help. Can watch the movie in peace now.,1
livid this,3
and the headache is back for the fifth time today.,1
Worst in the world dropping my #iphone4 in the TOLIET #randomthought,4
i adore them,2
@StarCrunch23 should come to my home because i am terribly bored,0
When I failed an exam I thought I would pass.,3
Strictly avoid frightening ideas,4
Totally not . Perhaps it's about our marriage .,0
angry right now,3
"It was hot , sunny and the water looked so cool and inviting that Maggie felt quite downcast about having no swimsuit .",0
"With my wonderful boyfriend, about to leave for school. #justkidding",1
"When a person is privileged in account of situations that are unjust, and disloyal to colleagues and friends.",3
Hywel was glaring mad at having to put a suit on .,3
Just another day in American Wars... Visual Learning Experience.,1
"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today #less”",4
@ohmyjessie aww sad well I sad my teacher likes the broncos and I said that's,0
completely unbelievable,5
always crying,0
"My 21st birthday celebration, when I cut the cake and received the presents.",1
Black Friday shopping. I have no idea what I'm in for,4
"He considered this thoughtfully , then a gleam of amusement came into his eyes .",1
Walking on a dark street with noone around.,4
After my father died suddenly of a heart attack.,0
Someone told me earlier brody jenner is too good for the Kardashians...,3
@TheBodyShopUK  When I take my children to Santa's grotto and thier faces light up,1
It's always been a tradition in my family for all the girls to go shopping Thanksgiving night. But we're not doing it this year. :(,0
Apparently bum fighting has gone the way of the dodo...,0
At hairdressers....told him I was bored with my hair and I have left it up to him to decide what to do with it!,5
When I was told that the form five results were out.,4
treasure you,2
Lekker aan het knutselen en rijmen met een glas wijn ter inspiratie waarvoor dank @ProefOostenrijk,5
@Michael_Waite where art thou? i miss your face #desire,0
My thesis paper being accepted!!!!! #thisbringsmejoy,1
When they threatened me with a knife to take my money.,4
"A journey of a thousand miles begins with a single step.  Lao-tzu, The Way of Lao-tzu Step into &amp; #read",1
"Man, these Indian rappers from Brampton are almost as bad as the black ones.",0
I know im sorry RT @ChristyyBeEasyy: @itsAnelizz you better.....ill try and forgive you not being here for my big 21....,0
Off to snuggle a four year old. Best part of the day.,1
"not, the end of the world isn't until next week. #afb",4
&quot;People like you....make it easy. Don't walk away...&quot; division,1
Finally gave in - put put all the flip flops away and moved the winter clothes to the front of the closet. Must... not... weep...,0
Insulted for no reason.,3
@Adele_am au niveau de la robe moi j'en ai vu 2 mais j'ai une autre idée donc !! Lol,5
@Fangamer Why your creations are only for very thin people?? I'm in deep here. :(,0
That depressing moment when you lose a follower,0
"Ayeeeee only 13 days, 12 hours, 21 minutes, and 15 seconds until Christmas! #cheerful",1
Geverfde make-updoos moet drogen...  Bijbehorende kwastjes groot uitgevallen. Wel heel leuk!,5
So blessed by those I've surrounded myself with and their loving support as graduation is near! #family #friends,1
MOO cards and holiday cards have arrived!,1
"@unicornmagic1 @Unicornmagic2 well now ht I know where you two are going,  let's meet in the magical field of rape! SEX",5
Hope my mom doesn't get scared that I'm home,5
great preach this morning - thanks! @JamesMowle  #forever #withjesus,1
The sheriff had said the most likely explanation was that the father had become exasperated .,3
i love it when people show up at my house,5
He was inconsolable when he found what she 'd done .,0
little run in the rain during lunch.......,1
horrified right now,4
Yussuf had been quite inconsolable .,0
"I feel a certain strange surging thru my soul....., yet it feels so off-limits..wht do I do... Wht. Is there to say?",4
am mad about it,2
"Jeremy Clarkson has slowly gone down in my eyes, his latest shame is too far!",3
"That sounds great . So , do you want to have dinner at 6:00 ?",1
"!!! RT @RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less",4
ecstatic right now,1
so ecstatic,1
These x factor TWATS are all manufactured given everythin to them on a plate. This undermines real ARTISTS man #pain,3
cherish this,2
Once again I bow to the magnificence that is the box of Mr Kipling Mince Pies. Obesity can ( attempt) to kiss my arse,1
I'm sorry . Our company has just opened . There are always too many things to handle . You know that .,0
i am mad about him,2
Swamped with homework tonight.,1
"There is a really thick black line through twitter, should I be scared? #hope #what",4
"I was at home alone, and heard noises on the roof, and doorknobs, and drawers.",4
Been scared of height my whole life dont think that will ever change,4
It will be awfully different not seeing big Albert in a cardinal uniform,0
Lmao. Cute. RT @ThaMagicTouch: The thingy is kinda cute tho RT @Thee_Tyson: RT @AliHMirza: #FEAR = Forget Everything and Rap...,4
@Woordlab Als je rug vast zit kun je haar misschien nog leuke kerstsurprises gaan brengen,5
I would ROFL right now by my chair has arms so I can't fall off it.,0
"if i see another nigga wit my name, and he aint crispy, or cool., i look at him in",3
Take care and give my best to you parents .,1
"So sleepy and bored. But tonight, there will be tree decorating and chicken soup. Also, writing.",5
"Have a dream your breath smells really bad, wake up with cat throw up on your pillow. #wtf",5
"It's the first Sunday of Advent. As I do every year, I will be posting an  task every day this month.",1
gonna be on the road for 6 hours today. #sarcasm,1
"For the loss of a close friend or relative, but you feel grief when you are away from home, too.",0
truly appreciate you,2
@jcspeechcoach you are. i shall prove it to you. send me your mobile number.,5
I have a new born child.,1
My Right Hand Has 3 Fingers Able To Work... Gunna Release A Hopefully Tomorrow! #Stoked,5
"96yo FIL loves candy. Halloween leftovers are all but gone, including the Pop Rocks. Wonder how those went over!",5
this time of year makes me happy. especially surprising friends and loved ones with treats and kind gestures.,1
It is such an extreme to witness the growth &amp; EVOLution of another Soul. #Gratitude,1
My being admitted to university.,1
Feel like the biggest asshole in the world right now. Prolly gunns kill myself noe #inlove,0
@mad_kat1000 I'm glad you can tweet but not text back.,0
&quot;Never Shadows. They Simply Mean There Is A Light Shining Somewhere Nearby...&quot;  #Life #Quote,4
He felt a bit worried at this and started to question her .,4
feeling awesome,1
I passed an exam which I thought I had failed.,1
been feeling grateful,1
When a classmate hit me on my occipital region when I was busy studying and concentrating on my classnotes.,3
When my boyfriend sat up half the night playing computer games with a friend.,3
getting petrified,4
My econ. class &amp; I are going to fail beckleys class miserably.,1
Missing you lots already Soumya Jain! Can't wait till you're done your degree and en route back home forever!,0
"Oh , no !",3
that and most our #IMMAGINATION is gone. WHY? Because they want the CONTROL. FREE YOUR MIND &amp; SPIRIT become that...,1
Just got home from work six hours ago.. &amp; I'm already on my way back..,1
Last night in Manila - flying back home tomorrow...,0
"Honey, you dont look cute with your chest hangin out .. Maybe nest time find a shirt that fits?",3
@JackDempsey2 was expecting something greasy with cheese and taco sauce toppings. #watchlifeinHD,5
"It felt really good. you know the idea Jesus first Yourself last, Others in between",1
Feeling pretty awful. And I really can't handle these pictures in my Patho book tonight,3
Man its tough to figure.,0
&quot;But the secret to joy is to keep seeking God where we doubt He is.&quot; #1000gifts,1
When I passed an important exam.,1
Ever feel like you're losing touch with someone and they want it to happen?,0
"Because I'm the wrong sex , of course !",3
@danathecookie it's better not to share the egg and kid part haha =P,3
So tired and so sore and try outs are pushed back an hour.,1
"Missing my boyfriend, my family, and friends really bad tonight.",0
Chatterton did not sound unduly worried at that prospect .,4
Princess.  RT @AdventicesBonne: About to leave bailey flowers on her step,5
guess im moving to a new house sometime soon...,5
Im scared &amp; disappointed to find out that you tweet &amp; drive. :/,0
Making dinner for the girlfriend!! #hopeshelikesit,5
so unbelievable,5
Yes .,1
im despise,3
When I had to leave my mother and my sister after a week's visit.,0
"&quot;To fight fear, act. To increase fear, wait, put off, postpone.&quot; - David J. Schwartz.  #davidjschwartz",4
i outraged this,3
"Man, I wish I was in Dallas. Bet the winter meetings are rocking right now.",0
"No sleep for me, been up since 10am thursday morning...Now off too go shopping with my mother in a pissy mood.",1
"UGA matches up with LSU MUCH better than Arkansas...nonetheless, it will come down to UGAs ability to run it and stop their run.",5
Urg I was in a really good mood today. Now I'm in a mad at everything and everyone mood...,1
Eating at Swiss Chalet with @Winieckipedia! Waiting for 9pm to watch Addy Rawl in the USA expo game!,5
Hair done. Feeling Fresh!,1
"There's a first time for everything, and tomorrow it's Root Canal Treatment #passmethewine",1
Wonder wot time @xdoobie1990x is goin to pick me up for work!,1
@Karla_Isabella2 Couldn't ask for a better ;) lolol. Give me a warning next time,5
I've gone scissors happy on it so at least it fits in my room but now lights won't work to the freaking world!,1
27 dresses!! And sleep time... Ready for ridiculous hours at work now till Monday,1
At the end of the day more Americans will know about the Herman Cain press conference than the climate change one.  #pizza,0
I 'm getting vexed .,3
I'm standing in front of an exquisite work of art !,1
"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”",4
When males in my family try to assign house duties exclusively with referance to sex.,3
@_CaitlinOhh negative you can wait til later ;),5
getting anxious,4
i feel excited,1
"` Don't be despondent , "" she told me .",0
do something only a kid would do.. n feel z difference.. #careless,1
Am in love with the flower bouquet that my Dept Gurl friends brought 2 me :') #Love #FP #QP,5
loathe you,3
"Christina blushed , angry at being spoken to like a member of staff .",3
Thigh muscles still burning thanks to  Andddd I have to wear heels tonight,1
@Bash_Lightyear lol cos I saw on tv that Rick gana only perform in Joburg,0
"In the end , the poems must be read as expressions of sheer delight in friendship .",1
feeling devastated,0
very heartbroken,0
Finding out that I was deceived by a friend.,3
Getting ill.,4
Sitting in class looking down on my hands nail polish looking shabby,0
He don't love me.like he.love his IPhone.,0
@jarpad Seeing your photos that twitter has some startled me it seems that you have a demon inside the body,4
"Zo, m'n auto is weer (even) schoon, nu m'n huisje opruimen, afmaken en dan richting #Lelystad!",5
finally great,1
How could you ? I reminded you just this morning .,3
When people fall asleep on me...,1
First thing to eat after a night out,1
About to go on a walk to the barn with @RFletch43 and his family..,1
Listening to Jackson 5 xmas songs! Filled with  and for this #merry christmas season :),1
"Happy Mother's Day , Mom !",1
Philip was mad at himself for not taking the cutters off the boy .,3
Succeeding in helping others.,1
Popping my  cherry + sitting outside Best Buy. It smells like straight up PISS.,3
When I argue with my mother about the way she treats her two children differently.,0
Day 2 of my brother's stay in emergency.  #whatstheanswer #pleasadmithim,4
I was actually on time to school today,5
Looking fwd to finally meeting a great friend tomorrow!!!,1
What's all this sunshine bullshit? (Payday today) #whathappenedtoautumn?,1
Just brought my wife  at work. Best feeling ever.,5
When two of my children were critically ill with measles.,4
Sociology test. I'm so ecstatic with that I'm sweating jelly beans. #sarcasm,1
Hear my name on the list attending the English lectures.,1
I ’ m not in the mood .,0
I have consumed what I usually consume in a year in an hour... Too much lamb,4
"In your nearest gallery,mall, gift shop, variety store.My poem God's 24 Hour Makeover now a book Bringing the #PUBLISHER!",1
No F's! My phone will be turned back on sometime this week.,1
It's sad .. People hate on you because your being you and they can't lol,0
"I can tell that your not use to the truth all the time, It's sad really.   #SMH",0
@BriannaBuford nah I think it was an old lady. Probably crossing the street without a in the world but that car was #unstoppable...,4
There is nothing good at the moment.Let ' s do something different.Would you like to go to a concert ?,1
i despise you,3
leaving camp today,0
"Had a dream I tweeted a sentence fragment, and @pattonoswalt RT'd it. At first I was like WOO! Then realised it was at my expense.",0
"In an increasingly health-conscious world , executives from Brazil to Britain have become increasingly fed-up with luncheon excesses .",3
&quot;@CU_Problems: No Booster Juice on campus. #CUProblems&quot;@Marcfalardeau12 #sorry..,0
i am sad,0
speechless,5
getting tense,4
i am confident of this.. that i will see YOUR goodness while i am alive.,1
"Well UGA, UNC, the Falcons, and some nonfootball related people I once respected all let me down this weekend. Now it's finals week.",1
If I don't like someone they know it by my language body language and facial expressions because im bad I hiding,3
i am stressed,4
"Playing NOW on Hardest: BYZPO Radio Show Session #17. Tune in, listen and enjoy.",4
One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .,3
gone be late for school today ..,1
elated about this,1
When my mother was very sick and almost died.,0
Why can't I log off of twitter from my phone?!?!?!?!?!,3
Receiving a letter from a boy I care.,1
"Surprise af, ik zou graag een fotootje plaatsen maar da's nog te vroeg, teveel  #sinterklaas",5
@BubbaStratton stay strong and keep your head on a swivel. Don't let her yell,5
Wen tears of joy flood my eyes exse,1
My friend was badly hurt.,0
@Sanny_MUFC @chiller58_lfc Omar calm down you take everything out of context (I meant you was losing the battle of words) LOL,3
@reamaedayap @edz1882 @SpiritMaster201 @CJcel  asan na yung MO?wait nmin kahapon pa..heheheh #ATAT LANG,5
i really cherish you,2
i am frustrated,3
I did it! I conquered nerves and . THANK YOU SO MUCH @solzahran for learning the song #AsISang. lol 'preciate it :),4
I'm sooooo grateful to have you babydoll and had an absolutely perfect and amazing night with you! Your the perfect girlfriend!!,1
When I got the first compound through column.,1
loathe you,3
Mailroom was some kind of crazy today.  #layoff,3
Both her mother and Lisa had been cross with her ; they both had felt she ought to settle down .,3
"not afraid of tomorrow, for I have seen and I love today",1
just feel empty,0
"I go through the 800 pics in my phone, brings back a lot of memories",1
I am now going to attempt to get my hair cut,4
"But Matta was gazing at him , and his grin was wider , more gleeful .",1
"After working overtime till 11, I get to come in at open too.",1
Sooooo thankful to have spent the day with @tanbrian and now enjoying the night with my family and Katie!,1
finally glad,1
